Sub-Category,Total_Sales,Sales_Growth_Rate,Sales_Volatility,Average_Order_Value,Cluster,Demand_Cluster,Stocking_Strategy
Copiers,146248.094,84.67181893385128,5500.774390527093,2215.8802121212125,0,"Premium High-Value, Volatile Demand","Maintain controlled safety stock and use frequent demand monitoring. Because products have high order values and high volatility, excessive inventory could lock up significant capital."
Machines,189238.631,8.006000579367447,5603.554746739796,1689.6306339285713,0,"Premium High-Value, Volatile Demand","Maintain controlled safety stock and use frequent demand monitoring. Because products have high order values and high volatility, excessive inventory could lock up significant capital."
Appliances,104618.403,39.92758418197722,1821.6215390281989,235.6270337837838,1,"Low-Volume, Stable Demand","Maintain lean inventory with regular replenishment. Demand is relatively stable but overall sales volume is lower, so excessive safety stock is unnecessary."
Art,26705.41,16.605553026749924,330.4883427284576,37.09084722222222,1,"Low-Volume, Stable Demand","Maintain lean inventory with regular replenishment. Demand is relatively stable but overall sales volume is lower, so excessive safety stock is unnecessary."
Bookcases,113813.1987,23.806516259103613,2220.4050797251753,512.6720662162162,1,"Low-Volume, Stable Demand","Maintain lean inventory with regular replenishment. Demand is relatively stable but overall sales volume is lower, so excessive safety stock is unnecessary."
Envelopes,16128.046,-2.766643299765414,228.21868781596007,66.3705596707819,1,"Low-Volume, Stable Demand","Maintain lean inventory with regular replenishment. Demand is relatively stable but overall sales volume is lower, so excessive safety stock is unnecessary."
Fasteners,3001.96,15.703382899686266,48.74222863268981,14.160188679245284,1,"Low-Volume, Stable Demand","Maintain lean inventory with regular replenishment. Demand is relatively stable but overall sales volume is lower, so excessive safety stock is unnecessary."
Furnishings,89212.018,28.78893806111394,1360.0178672616057,104.34154152046783,1,"Low-Volume, Stable Demand","Maintain lean inventory with regular replenishment. Demand is relatively stable but overall sales volume is lower, so excessive safety stock is unnecessary."
Labels,12347.726,12.192650684234543,223.47121839221342,36.31684117647059,1,"Low-Volume, Stable Demand","Maintain lean inventory with regular replenishment. Demand is relatively stable but overall sales volume is lower, so excessive safety stock is unnecessary."
Paper,76828.304,25.413073603906046,1024.8249818349852,66.0604505588994,1,"Low-Volume, Stable Demand","Maintain lean inventory with regular replenishment. Demand is relatively stable but overall sales volume is lower, so excessive safety stock is unnecessary."
Accessories,164186.7,37.638071385980304,2579.99480907113,233.88418803418804,2,"High-Volume, Core Demand","Maintain higher safety stock and prioritize product availability. These are high-volume core products, so stockouts could cause significant lost sales."
Binders,200028.785,21.87360669860654,3848.2236478754908,154.94096436870643,2,"High-Volume, Core Demand","Maintain higher safety stock and prioritize product availability. These are high-volume core products, so stockouts could cause significant lost sales."
Chairs,322822.73099999997,7.135789951209726,4407.232959811409,570.3581819787985,2,"High-Volume, Core Demand","Maintain higher safety stock and prioritize product availability. These are high-volume core products, so stockouts could cause significant lost sales."
Phones,327782.448,12.340878459166035,4052.718220520821,408.1973200498132,2,"High-Volume, Core Demand","Maintain higher safety stock and prioritize product availability. These are high-volume core products, so stockouts could cause significant lost sales."
Storage,219343.392,13.179873437023966,2822.0843101166624,287.09868062827223,2,"High-Volume, Core Demand","Maintain higher safety stock and prioritize product availability. These are high-volume core products, so stockouts could cause significant lost sales."
Tables,202810.628,16.410685246324878,3224.082504460717,671.5583708609272,2,"High-Volume, Core Demand","Maintain higher safety stock and prioritize product availability. These are high-volume core products, so stockouts could cause significant lost sales."
Supplies,46420.308,192.84484275895375,2025.0941389159009,256.4657900552486,3,Irregular High-Growth Demand,Use flexible replenishment and closely monitor recent demand trends. Avoid aggressive overstocking because the extreme calculated growth rate is influenced by irregular year-to-year sales changes.
